       JobID    JobName  Partition    Account  AllocCPUS      State ExitCode 
18792396     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792396.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792397     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792397.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792398     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792398.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792399     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792399.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792400     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792400.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792401     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792401.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792402     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792402.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792403     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792403.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792404     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792404.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792405     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792405.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792406     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792406.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792407     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792407.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792408     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792408.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792409     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792409.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792410     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792410.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792411     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792411.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792412     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792412.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792413     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792413.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792414     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792414.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792415     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792415.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792416     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792416.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792417     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792417.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792418     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792418.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792419     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792419.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792420     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792420.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792421     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792421.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792422     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792422.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792423     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792423.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792424     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792424.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792425     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792425.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792426     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
